x,y,h,w,c_x,c_y,class
258.95984,28.862228,444.69623,180.13351,349,251,4
259.8568,30.09533,443.18744,178.85864,349,251,4
259.5252,31.39266,442.04193,178.45926,348,252,4
258.68427,32.382275,441.93207,180.81061,349,253,4
259.13837,30.40638,443.326,180.75345,349,252,4
258.88367,30.540161,443.23077,183.25623,350,252,4
256.80466,29.515186,444.30984,184.31046,348,251,4
256.51828,30.30148,443.72562,187.40707,350,252,4
256.16534,29.437279,444.97897,186.082,349,251,4
258.4197,31.990143,441.58725,183.21603,350,252,4
257.0856,32.84958,439.40958,184.07187,349,252,4
257.7669,33.74356,440.88953,183.33707,349,254,4
258.15558,33.12485,441.87872,183.6564,349,254,4
257.67,34.02124,441.59372,181.89575,348,254,4
255.53778,35.420364,440.24286,183.95853,347,255,4
256.0203,34.052094,441.4799,185.34512,348,254,4
257.19382,32.469093,442.67596,183.20978,348,253,4
256.05713,31.332935,443.21606,183.9972,348,252,4
257.06967,31.031199,444.76212,184.38351,349,253,4
257.34106,32.865673,442.74158,185.39789,350,254,4
256.74792,32.21287,444.50092,187.51166,350,254,4
257.74243,32.507942,446.0399,187.32199,351,255,4
260.2229,32.887917,445.5795,182.73026,351,255,4
259.78894,31.849337,445.13037,184.22662,351,254,4
260.18655,32.41964,443.98166,182.50107,351,254,4
257.85645,31.867905,443.1914,184.84528,350,253,4
256.60266,28.139034,446.34634,186.38351,349,251,4
257.04584,22.072605,452.76566,184.76196,349,248,4
256.16946,17.883724,458.8468,183.52615,347,247,4
254.53412,14.667377,461.946,184.48267,346,245,4
251.06354,13.36112,467.2018,188.8742,345,246,4
247.57825,10.493073,471.64874,189.02237,342,246,4
247.26631,8.765874,473.1164,188.46922,341,245,4
246.27371,5.292878,469.98862,190.44412,341,240,4
247.54935,0.5784416,473.34286,191.5275,343,237,4
246.87654,-1.5247822,476.6047,192.19292,342,236,4
248.42496,-2.3889399,476.7986,189.01224,342,236,4
250.00629,1.3302612,472.66583,188.88864,344,237,4
247.91019,-2.5826883,476.75668,187.74564,341,235,4
248.96469,-1.987381,478.58685,188.8945,343,237,4
250.19302,-2.6973295,475.62723,185.57272,342,235,4
247.99303,-2.3913717,477.47125,188.50441,342,236,4
246.8974,-4.4901323,479.34604,189.07547,341,235,4
249.49165,-3.054185,475.99188,187.17918,343,234,4
247.96007,-2.5082731,477.71176,189.13521,342,236,4
248.9582,-2.2486496,477.95697,187.45293,342,236,4
250.41293,0.8918667,473.9282,184.25626,342,237,4
249.31107,-4.5985365,478.86478,182.69522,340,234,4
249.29985,-5.7890797,480.97745,182.00789,340,234,4
250.33249,-2.847848,478.35907,182.15677,341,236,4
247.53998,-4.591198,480.95316,184.6618,339,235,4
250.17485,-5.8446693,482.3399,185.37492,342,235,4
252.28522,-1.9255829,474.77533,184.0362,344,235,4
